"Bayushi","Bayushi"
"Bayushi Manipulator School","Bayushi Manipulator Schule"
"Command","Befehlen"
"Attendant","Begleiter"
"Ambidexterity","Beidhändigkeit"
"Biting Steel","Beißender Stahl"
"Siege Wepaons","Belagerungswaffen"
"Benten's Curse","Benten's Fluch"
"Benten's Blessing","Benten's Segen"
"Advisor","Berater"
"Infamous Builder","Berüchtigter Baumeister"
"Famously Wealthy","Berühmt Wohlhabend"
"Famously Successful","Berühmt erfolgreich"
"Famously Reliable","Berühmt zuverlässig"
"Famously Honest","Berühmt-berüchtigt ehrlich"
"Famous Deed","Berühmte Tat"
"Famously Lucky","Berühmtes Glück"
"Touch the Void Dragon","Berühre den Leerendrachen"
"Nature's Touch","Berührung der Natur"
"Plated Armor","Beschichtete Rüstung"
"Invocations","Beschwörungen"
"Damaged","Beschädigt"
"Bend with the Storm","Beug dich mit dem Sturm"
"Pouch of Gaijin Coins","Beutel voller Gaijin Münzen"
"Armament","Bewaffnung"
"Seasoned","Bewährt"
"Bind the Shadow","Bindet den Schatten"
"Bind the Undead","Bindet die Untoten"
"Bisentō","Bisentō"
"Bishamon's Curse","Bishamon' s Fluch"
"Bishamon's Blessing","Bishamon's Segen"
"Blowgun","Blasrohr"
"Gaze into Shadow","Blick in den Schatten"
"Blindness","Blindheit"
"Lightning Raid","Blitzangriff"
"Blood of the Kami","Blut der Kami"
"Blood of the Dragon","Blut des Drachens"
"Blood and Mortar","Blut und Mörtel"
"Blood of Osano-wo","Blut von Osano-wo"
"Crimson Leaves Strike","Blutroter Blätter Schlag"
"Bowyer's Kit","Bogenmacher Kit"
"Bokken","Bokken"
"Bonsai","Bonsai"
"boat or estate","Boot oder Anwesen"
"Bravado","Bravado"
"Breaking Blow","Brechender Schlag"
"Well of Desire","Brunnen des Verlangens"
"bu","Bu"
"Bushi","Bushi"
"Bushi, Artisan","Bushi, Handwerker"
"Bushi, Courtier","Bushi, Höfling"
"Bushi, Monk","Bushi, Mönch"
"Bushi, Shinobi","Bushi, Shinobi"
"Bows","Bögen"
"Bō","Bō"
"Bō of Water","Bō von Wasser"
"Chokutō","Chokutō"
"Daidoji","Daidoji"
"Daidoji Iron Warrior School","Daidoji Eisenkrieger-Schule"
"Daikoku's Curse","Daikoku's Fluch"
"Daikoku's Blessing","Daikoku's Segen"
"Daikyū","Daikyō"
"Daimyō","Daimyō"
"Daishō Stand","Daishō Standfuß"
"Dao","Dao"
"Performance","Darbietung"
"Spin the Web","Das Netz spinnen"
"Entreat the Shadow Steed","Das Schattenross anflehen"
"A Samurai's Fate","Das Schicksal eines Samurai"
"To Tread the Sword","Das Schwert bewandern"
"Usher in the New Age","Das neue Zeitalter einläuten"
"The Cleansing Fire","Das reinigende Feuer"
"The Mountain Does Not Fall","Der Berg fällt nicht"
"The Blood Price","Der Blutprinz"
"The Body is an Anvil","Der Körper ist ein Amboss"
"The Path of Shadows","Der Pfad der Schatten"
"The Way of Names","Der Weg der Namen"
"The Wind Blows Both Ways","Der Wind weht in beide Richtungen"
"The Effortless Path","Der mühelose Weg"
"Design","Design"
"The Lady's Grace","Die Anmut der Lady"
"The Eyes Betray the Heart","Die Augen verraten das Herz"
"Sensing the Breeze","Die Brise spüren"
"Still the Elements","Die Elemente besänftigen"
"The Families of the Fleet","Die Familien der Flotte"
"The Fires from Within","Die Feuer von innen"
"The Spirits Unbound","Die Geister ungebunden"
"Healer's Hands","Die Hände des Heilers"
"Ide Trader School","Die Händler Schule"
"The Kami's Whisper","Die Kami flüstern"
"The Soul's Blade","Die Klinge der Seele"
"Prey on the Weak","Die Schwachen jagen"
"The Damned","Die Verdammten"
"Riding the Clouds","Die Wolken reiten"
"The Clouds Part","Die Wolken teilen sich"
"Sear the Wound","Die Wunde verätzen"
"Civility Foremost","Die Zivillität steht an erster Stelle"
"The Great Silence","Die große Stille"
"The Imperial Families","Die kaiserlichen Familien"
"The Final Silence","Die letzte Stille"
"The Rushing Wave","Die rauschende Welle"
"The Immovable Hand of Peace","Die unbewegliche Hand des Friedens"
"Servant of the Kami","Diener der Kami"
"Bluntness","Direktheit"
"Doji","Doji"
"Doji Diplomat School","Doji-Diplomatenschule"
"Thunderclap Strike","Donnerschlag Schlag"
"Dragon","Drache"
"Daredevil","Draufgänger"
"Trident","Dreizack"
"You gain the Fallen Ancestor disadvantage (see 98). Choose one of your character's rings; you may reduce the value of that ring by 1 to increase the value of your Void Ring by 1 (this still cannot raise it above 3).","Du erhältst den Nachteil des gefallenen Vorfahren (siehe 98). Wähle einen der Ringe deines Charakters; du kannst den Wert dieses Rings um 1 verringern, um den Wert deines Leeren Ringes um 1 zu erhöhen (dies kann ihn immer noch nicht über 3 erhöhen)"
"You gain the Blessed Lineage advantage (see page 103 of the core rulebook). This can be assigned in excess of the normal limitations on disadvantages at character creation. While on the Wall, your glory rank is treated as 1 higher.","Du erhältst den Vorteil der Gesegneten Linie (siehe Seite 103 des Kernregelwerks). Dies kann über die üblichen Einschränkungen der Nachteile bei der Charaktererstellung hinaus erfolgen. Während du an der Wand bist, wird dein Ruhmesrang als 1 höher behandelt."
"You gain the Blessed Lineage advantage (see page 103) (this can be assigned in excess of the normal limitations on advantages at character creation).","Du erhältst den Vorteil der Gesegneten Linie (siehe Seite 103) (dieser kann über die normalen Einschränkungen der Vorteile bei der Charaktererstellung hinaus vergeben werden)."
"You gain the Haunting (Void) adversity (see page 122 of the core rulebook). This can be assigned in excess of the normal limitations on disadvantages at character creation. Roll a ten-sided die again to determine a Martial skill; gain +1 rank in that skill.","Du erhältst die Spuk-(Leere)-Widrigkeit (siehe Seite 122 des Kernregelwerks). Dies kann über die üblichen Einschränkungen der Nachteile bei der Charaktererstellung hinaus erfolgen. Würfle erneut einen zehnseitigen Würfel, um eine Kampfkunst zu bestimmen; erhalte +1 Rang in dieser Fähigkeit"
"You know one additional technique. Roll a ten-sided die again to determine the category, and then select one technique with a prerequisite of school rank 1 and learn that technique. You can perform that technique even if it is not normally allowed by your school.","Du kennst eine zusätzliche Technik. Würfle erneut einen zehnseitigen Würfel, um die Kategorie zu bestimmen, und wähle dann eine Technik mit der Voraussetzung des Schulrangs 1 aus und lerne diese Technik. Du kannst diese Technik anwenden, auch wenn sie normalerweise von deiner Schule nicht erlaubt ist."
"Dark Reflection","Dunkle Reflexion"
"Dark Secret","Dunkles Geheimnis"
"Stride the Waves","Durch die Wellen schreiten"
"Dynasty Builder","Dynasty Erbauer"
"Demon, Begone!","Dämon, verschwinde!"
"Demon Wound","Dämonenwunde"
"Vapor of Nightmares","Dämpfe der Alpträume"
"Ebb and Flow","Ebbe und Flut"
"Ebisu's Curse","Ebisu's Fluch"
"Ebisu's Blessing","Ebisu's Segen"
"Stand of Honor","Ehrenstand"
"Awe of Heaven","Ehrfurcht vor dem Himmel"
"Honest Assessment","Ehrliche Beurteilung"
"Jealousy","Eifersucht"
"A Friend in Every City","Ein Freund in jeder Stadt"
"One Sword of Rarity 7 or Lower","Ein Schwert der Seltenheit 7 oder niedriger"
"A Bottomless Ocean","Ein bodenloser Ozean"
"Bottle of Sake","Eine Flasche Sake"
"One Weapon of Rarity 6 or Lower","Eine Waffe der Seltenheit 6 oder niedriger"
"Freezing the Lifeblood","Einfrieren des Lebensblutes"
"Unicorn","Einhorn"
"Unicorn Warhorse","Einhorn Schlachtross"
"One with the Elements","Eins mit den Elementen"
"One with the Void","Eins mit der Leere"
"Loneliness","Einsamkeit"
"Iron in the Mountains Style","Eisen in den Bergen-Stil"
"Iron Forest Style","Eisenwald-Stil"
"Eku","Eku"
"Elemental Transmutation","Elementare Transmutation"
"Empathic Transfer","Empathischer Transfer"
"Discovery","Entdeckung"
"Earth Invocations","Erd Beschwörungen"
"Earth Kihō","Erd Kihō"
"Earth Shūji","Erd Shūji"
"Earthquake","Erdbeben"
"Earth","Erde"
"Earth Needs No Eyes","Erde benötigt keine Augen"
"Earth Becomes Sky","Erde wird Himmel"
"Earthen Fist","Erdfaust"
"Rise, Earth","Erhebe dich, Erde"
"Rise, Flame","Erhebe dich, Feuer"
"Rise, Air","Erhebe dich, Luft"
"Rise, Water","Erhebe dich, Wasser"
"Enlightened","Erleuchtet"
"Enlightenment","Erleuchtung"
"Harvester","Ernter"
"Blackmailed by [Character's Name]","Erpresst von [Name des Charakters]"
"Blackmail on [Name]","Erpressung von [Name]"
"Essence of Jade","Essenz der Jade"
"Chopsticks","Essstäbchen"
"Experiment and Adapt","Experimentieren und anpassen"
"Expert Tracker","Experten-Tracker"
"Falcon","Falke"
"Hawk's Precision","Falkenpräzision"
"False Identity","Falsche Identität"
"False Realm of the Fox Spirits","Falsches Reich der Fuchs-Geister"
"Capture Evil","Fange das Böse ein"
"Flaw, Mental","Fehler, mental"
"Field Medicine","Feldmedizin"
"Spyglass","Fernglas"
"Ranged","Fernkampf"
"Ranged Combat Kata","Fernkampf Kata"
"Fire","Feuer"
"Fire Invocations","Feuer Beschwörungen"
"Fire Kihō","Feuer Kihō"
"Fire Shūji","Feuer Shūji"
"Finger of Jade","Finger aus Jade"
"Fitness","Fitness"
"Flickering Flame Skirmisher","Flackernder Flammenscharmützler"
"Flame Fist","Flammenfaust"
"Flexibility","Flexibilität"
"Flowing Water Strike","Fließender Wasserschlag"
"Bane of Sorcerers","Fluch der Zauberer"
"Curse, Mental","Fluch, Mental"
"Curse, Physical","Fluch, körperlich"
"Curse, Physical, Spiritual","Fluch, körperlich, spirituell"
"Curse, Mental, Spiritual","Fluch, mental, spirituell"
"Curse, Spiritual","Fluch, spirituell"
"Curse, Interpersonal, Spiritual","Fluch, zwischenmenschlich, spirituell"
"Flyssa","Flyssa"
"Wings of the Phoenix","Flügel des Phönix"
"Whispers of Poverty","Flüstern der Armut"
"Whispers of Cruelty","Flüstern der Grausamkeit"
"Whispers of Failure","Flüstern des Scheitern"
"Whispers of Doom","Flüstern des Verderbens"
"Whispers of Treachery","Flüstern des Verrats"
"Shape the Flesh","Forme das Fleisch"
"Researcher","Forscher"
"Fortunist Monk Order","Fortunistischer Mönch Orden"
"Friend of the Brotherhood","Freund der Bruderschaft"
"Friend of the Nezumi","Freund der Nezumi"
"Summon Fog","Frosch beschwören"
"Fox Spirit","Fuchsgeist"
"Fukurokujin's Curse","Fukurokujins Fluch"
"Fukurokujin's Blessing","Fukurokujins Segen"
"Fukurokujin's Wit","Fukurokujins Verstand"
"Fanning the Flames","Fächeln der Flammen"
"Skill","Fähigkeit"
"skill","Fähigkeit"
"skill_group","Fähigkeiten_Gruppe"
"Elevated for Service","Für den Dienst hochgestellt"
"Gaijin Name, Culture or Appearance","Gaijin Name, Kultur oder Aussehen"
"Gaijin Compass","Gaijin-Kompass"
"Born in the Saddle","Geboren im Sattel"
"Fractured Spine","Gebrochene Wirbelsäule"
"Fallen Ancestor","Gefallener Vorfahre"
"Dangerous Allure","Gefährliche Anziehung"
"Item (Rank 6 or Lower)","Gegenstand (Rang 6 oder niedriger)"
"Item Patterns","Gegenstand Muster"
"Secrets","Geheimnisse"
"Secrets on the Wind","Geheimnisse auf dem Wind"
"Hunted by Chikushō-dō","Gejagt von Chikushō-dō-dō"
"Scholar skill","Gelehrten Fähigkeit"
"Scholar skills","Gelehrten Fähigkeiten"
"Just as Predicted","Genau wie vorhergesagt"
"Ingenious Design","Geniales Design"
"Genno","Genno"
"Justice of the Champion","Gerechtigkeit des Champions"
"Gossip","Gerede"
"Silencing Stroke","Geräuschdämpfender Schlag"
"History","Geschichte"
"Stories","Geschichten"
"Speed of Heaven","Geschwindigkeit des Himmels"
"Sworn Enemy","Geschworener Feind"
"Damaged Heart or Organ","Geschädigtes Herz oder Organ"
"Sharpened Ki","Geschärftes Ki"
"Warded Shikigami","Geschützter Shikigami"
"Blessed Lineage","Gesegnete Ahnenlinie"
"Blessed Wind","Gesegneter Wind"
"Stolen Knowledge","Gestohlenes Wissen"
"Sanctified Robes","Geweihte Gewänder"
"Weight of Duty","Gewicht der Pflicht"
"Accustomed to Luxury","Gewohnt an Luxus"
"Common Clothes","Gewöhnliche Kleidung"
"Spices (common)","Gewürze (gewöhnlich)"
"Spices (rare)","Gewürze (selten)"
"Poison (per vial)","Gift (pro Ampulle)"
"Noxious Cloud","Giftige Wolke"
"Glorious Sacrifice","Glorreiches Opfer"
"Stirring the Embers","Glut auffachen"
"Lucky Cricket","Glückliche Grille"
"Blissful Betrothal","Glückselige Verlobung"
"Goblin Killer","Goblin-Mörder"
"Mantis","Gottesanbeter"
"Gourmet","Gourmet"
"Tomb of Jade","Grab aus Jade"
"Grasp of Earth","Griff der Erde"
"Grasp the Earth Dragon","Griff des Erddrachens"
"Grasp of the Air Dragon","Griff des Luftdrachens"
"Great","Groß"
"Large Stature","Große Statur"
"Large Shield","Großer Schild"
"Generosity","Großzügigkeit"
"Delusions of Grandeur","Größenwahn"
"Thoroughness, patience or calm","Gründlichkeit, Geduld oder Ruhe"
"Favor of the Ancestors","Gunst der Ahnen"
"Favor of the Fortunes","Gunst der Glücke"
"Gunsō","Gunsō"
"Well Traveled","Gut gereist"
"Well Connected","Gut vernetzt"
"Shark Leather Armor","Hailederrüstung"
"Crescent Moon Style","Halbmond-Stil"
"Hammer","Hammer"
"Commerce","Handel"
"Trade skill","Handelsfähigkeit"
"Trade skills","Handelsfähigkeiten"
"Hand Weapons","Handwaffen"
"Artisan, Bushi","Handwerker, Bushi"
"Artisan, Courtier","Handwerker, Höfling"
"Artisan skills","Handwerkerische Fähigkeiten"
"Artisan's Appraisal","Handwerkliche Beurteilung"
"Hasegawa's Denial","Hasegawa's Verleugnung"
"Sacred","Heilig"
"Sacred Fist","Heilige Faust"
"Sacred Art of Steel","Heilige Kunst des Stahls"
"Sacred Arrows","Heilige Pfeile"
"Hero of [Village]","Held von [Dorf]"
"Heroic Charge","Heroischer Sturm"
"Dominion of Suijin","Herrschaft von Suijin"
"Heart of the Dragon","Herz des Drachens"
"Heart of the Lion","Herz des Löwen"
"Heart of the Water Dragon","Herz des Wasserdrachens"
"Heartpiercing Strike","Herzzerreißender Schlag"
"Witch Hunter","Hexenjäger"
"Hida","Hida"
"Hida Defender School","Hida Verteidiger Schule"
"Skulduggery","Hinterlist"
"Hiruma","Hiruma"
"Hiruma Scout School","Hiruma Späher Schule"
"Whispers of Court","Hofgeflüster"
"Hands of Tides","Hände der Gezeiten"
"Hands of Earth and Sky","Hände von Erde und Himmel"
"Courtesy","Höflichkeit"
"Courtier","Höfling"
"Courtier, Bushi","Höfling, Bushi"
"Courtier, Shugenja","Höfling, Shugenja"
"Iaijutsu Cut: Rising Blade","Iaijutsu Schnitt: Aufsteigende Klinge"
"Iaijutsu Cut: Crossing Blade","Iaijutsu Schnitt: Kreuzende Klinge"
"I Will Always Return","Ich werde immer wieder zurückkehren"
"Ichi's Second Sight","Ichi's zweite Sicht"
"Ide","Ide"
"Ikebana","Ikebana"
"Ikoma","Ikoma"
"Ikomo Bard School","Ikoma Barden Schule"
"By the Light of the Lord Moon","Im Licht des Herrn Monds"
"Speaking in Silence","In Stille sprechen"
"Foreseen in the Stars","In den Sternen vorhergesehen"
"Inari's Blessing","Inari's Segen"
"Engineer's Kit","Ingenieurs-Kit"
"Intolerance","Intoleranz"
"Isawa","Isawa"
"Isawa Elementalist School","Isawa Elementaristen Schule"
"Iuchi","Iuchi"
"Iuchi Meishōdō Master School","Iuchi Meishōdō Meister Schule"
"Jade Strike","Jadeschlag"
"Ji","Ji"
"Jian","Jian"
"Jitte","Jitte"
"Jurōjin's Balm","Jurōjin's Balsam"
"Jurōjin's Curse","Jurōjin's Fluch"
"Jurojin's Blessing","Jurōjin's Segen"
"Kabutowari","Kabutowari"
"Cadence","Kadenz"
"Imperial","Kaiserlich"
"Imperial Heritage","Kaiserliches Erbe"
"Kaito","Kaito"
"Kaito Shrine Keeper School","Kaito Schrein Wächter Schule"
"Kaiu","Kaiu"
"Kaiu Engineer School","Kaiu Ingeneur Schule"
"Kaiu no Oyumi","Kaiu no Oyumi"
"Kakita","Kakita"
"Kakita Duelist School","Kakita Duelisten Schule"
"Kakita Katana","Kakita Katana"
"Kakita Pattern","Kakita Muster"
"Kakita Swordsmith School","Kakita Waffenschmied Schule"
"Calligraphy Set","Kalligraphie-Set"
"Kama","Kama"
"Battle Trauma","Kampf Trauma"
"Battle in the Mind","Kampf im Kopf"
"Martial skill","Kampfkunst"
"Martial skills","Kampfkünste"
"Channel the Fire Dragon","Kanalisiere den Feuerdrachen"
"Karmic Tie","Karmische Verbindung"
"Playing Cards","Karten spielen"
"Kasuga","Kasuga"
"Kasuga Smuggler School","Kasuga Schmuggler Schule"
"Kata","Kata"
"Katana","Katana"
"Katana of Fire","Katana des Feuers"
"No Sacrifice Too Greate","Kein Opfer zu groß"
"Kenzō Blade","Kenzō Klinge"
"Club","Keule"
"Ki Protection","Ki Schutz"
"Kihō","Kihō"
"Kiseru","Kiseru"
"Pillow Book","Kissenbuch"
"Kisshōten's Curse","Kisshōten's Fluch"
"Kisshōten's Blessing","Kisshōten's Segen"
"Kitsu","Kitsu"
"Kitsu Medium School","Kitsu Medium Schule"
"Kitsuki","Kitsuki"
"Kitsuki Investigator School","Kitsuki Ermittler Schule"
"Kitsuki's Method","Kitsuki's Methode"
"Kitsune Impersonator Tradition","Kitsune Imitator Tradition"
"Kitsune Starting Outfit","Kitsune Starter Outfit"
"Clan Magistrate","Klan Magistrat"
"Claustrophobia","Klaustrophobie"
"Small Stature","Kleine Statur"
"Little Truths","Kleine Wahrheiten"
"Minor","Kleiner"
"Small Shield","Kleiner Schild"
"Pin the Fan","Klemme den Fächer ein"
"Climbing Kit","Kletterausrüstung"
"Knotwork","Knotenarbeit"
"Cognitive Lapses","Kognitive Lücken"
"koku","Koku"
"Kolat","Kolat"
"Kolat Saboteur Conspiracy","Kolat Saboteur Verschwörung"
"Commune with Evil","Kommuniziere mit dem Bösen"
"Commune with the Spirits","Kommuniziere mit den Geistern"
"Composition","Komposition"
"Spread Corruption","Korruption verbreiten"
"Crab","Krabbe"
"Crane","Kranich"
"Creativity, passion or drive","Kreativität, Leidenschaft oder Antrieb"
"Creatures","Kreaturen"
"Warrior's Resolve","Kriegerische Entschlossenheit"
"Wargear","Kriegsgerät"
"Criminal Connections","Kriminelle Verbindungen"
"Kubi Bukuro","Kubi Bukuro"
"Kuge Lineage","Kuge Ahnenreihe"
"Culture","Kultur"
"Kuni","Kuni"
"Kuni Purifier School","Kuni Reiniger Schule"
"Kuni Warden School","Kuni Wächter Schule"
"Kusari-Gama","Kusari-Gama"
"Quiver of Bolts","Köcher voll Bolzen"
"Quiver of Arrows","Köcher voll Pfeile"
"Regal Bearing","Königliches Auftreten"
"Kingdom of Paper and Ink","Königreich aus Papier und Tinte"
"Lacquered Armor","Lackierte Rüstung"
"Lady Doji's Decree","Lady Doji's Dekret"
"Lady Shinjo's Speed","Lady Shinjo's Geschwindigkeit"
"Durable","Langlebig"
"Void","Leere"
"Void Kihō","Leeren Kihō"
"Void ring exchange","Leeren Ring Austausch"
"Void Shūji","Leeren Shūji"
"Light Sleeper","Leichter Schläfer"
"Lord Akodo's Roar","Lord Akodo's Gebrüll"
"Lord Bayushi's Whispers","Lord Bayushi's Geflüster"
"Lord Hida's Grip","Lord Hida's Griff"
"Lord Shiba's Valor","Lord Shiba's Tapferkeit"
"Lord Togashi's Insight","Lord Togashi's Einblick"
"Air","Luft"
"Air Kihō","Luft Kihō"
"Air Shūji","Luft Shūji"
"Air Invocations","Luftbeschwörungen"
"Air Fist","Luftfaust"
"Extinguish","Löschen"
"Lion","Löwe"
"Lion's Pride","Löwenstolz"
"Power of the Earth Dragon","Macht des Erddrachen"
"Mahō","Mahō"
"Mahō or Ninjutsu","Mahō oder Ninjutsu"
"Maikara's Rebuke","Maikara's Rüge"
"Majesty of the Throne","Majestät des Throns"
"Makeup Kit","Make-up Kit"
"Martial Arts [Ranged]","Martial Arts [Fernkampf]"
"Martial Arts [Melee]","Martial Arts [Nahkampf]"
"Martial Arts [Unarmed]","Martial Arts [Unbewaffnet]"
"Masakari","Masakari"
"Mask of Wind","Maske des Winds"
"Materialism","Materialismus"
"Matsu","Matsu"
"Matsu Berserker School","Matsu Berserker Schule"
"Matsu's Battlecry","Matsu's Kampfruf"
"Matsu's Fury","Matsu's Zorn"
"Touchstone of Courage","Maßstab des Mutes"
"Meditation","Meditation"
"Medicine","Medizin"
"Medicine Kit","Medizin Kit"
"Master of Elements","Meister der Elemente"
"Masterful Builder","Meisterhafter Baumeister"
"Mental","Mental"
"Mental, Scar","Mental, Narbe"
"Mental, Virtue","Mental, Tugend"
"Mental, Physical","Mental, körperlich"
"Mental, Spiritual","Mental, spirituell"
"Mental, Interpersonal","Mental, zwischenmenschlich"
"Knife","Messer"
"Military History","Militärgeschichte"
"Mirumoto","Mirumoto"
"Mirumoto Taoist Blade School","Mirumoto Taoist Klingen Schule"
"Mirumoto Two-Heavens Adept School","Mirumoto Zwei-Himmel Adept Schule"
"Bound in Ink","Mit Tinte gebunden"
"Sympathetic Energies","Mitfühlende Energien"
"Kitsu Medic School","Mitsu Medizin Schule"
"Miya","Miya"
"Miya Herald School","Miya Herold Schule"
"Miya Cartographer School","Miya Kartographenschule"
"Fashion","Mode"
"Momoku","Momoku"
"Monastic Acolyte","Monastischer Akolyt"
"Moto","Moto"
"Moto Conqueror School","Moto Eroberer Schule"
"Moto Avenger School","Moto Rächer Schule"
"Musical Instrument (fine)","Musikinstrument (fein)"
"Musical Instrument (common)","Musikinstrument (gewöhnlich)"
"Courage of Seven Thunders","Mut der Sieben Donner"
"Mystical Script","Mystisches Skriptum"
"Monk","Mönch"
"Naginata","Naginata"
"Melee","Nahkampf"
"Close Combat Kata","Nahkampf-Kata"
"Navigator","Navigator"
"Tributaries of Trade","Nebenflüsse des Handels"
"Nerve Damage","Nervenschaden"
"Curiosity","Neugierde"
"Ninth Tail Ascension","Neunter Schwanz Aufstieg"
